LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price(€),Ext.Price(€),Product Link
C2678753,"PCA9685PW,118",NXP Semicon,TSSOP-28,,100kHz~1MHz PWM 16 25mA 2.3V~5.5V TSSOP-28 LED Drivers ROHS,yes,10,1,1.9809,19.81,https://www.lcsc.com/product-detail/led-drivers_nxp-semicon-pca9685pw-118_C2678753.html
C17902,1206W4F1002T5E,UNI-ROYAL(Uniroyal Elec),1206,,0.25W Thick Film Resistors 200V ±100ppm/℃ ±1% 10kΩ 1206 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0030,0.30,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-1206w4f1002t5e_C17902.html
C2933785,FRC1206J221 TS,FOJAN,1206,,0.25W Thick Film Resistors 200V ±100ppm/℃ ±5% 220Ω 1206 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0022,0.22,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_fojan-frc1206j221-ts_C2933785.html
C2997280,DB128V-7.5-4P-GN-S,DORABO,P=7.5mm,,1x4P 16A -40℃~+105℃ 300V Green 12~22 Direct Insert 7.5mm 1 4 P=7.5mm Screw Terminal Blocks ROHS,yes,10,1,0.2094,2.09,https://www.lcsc.com/product-detail/screw-terminal-blocks_dorabo-db128v-7-5-4p-gn-s_C2997280.html
C26537,NCP1117ST33T3G,onsemi,SOT-223-3,,"64dB@(120Hz) 1A Fixed 3.3V Positive electrode 20V SOT-223-3 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",yes,10,5,0.2569,2.57,https://www.lcsc.com/product-detail/voltage-regulators-linear-low-drop-out-ldo-regulators_onsemi-ncp1117st33t3g_C26537.html
C513774,CS3216X5R106K500NRI,Samwha Capacitor,1206,,50V 10uF X5R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,20,20,0.0276,0.55,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samwha-capacitor-cs3216x5r106k500nri_C513774.html
C97521,W25Q128JVSIQ,Winbond Elec,SOIC-8-208mil,,128Mbit SPI 133MHz SOIC-8-208mil NOR FLASH ROHS,yes,2,1,0.4972,0.99,https://www.lcsc.com/product-detail/nor-flash_winbond-elec-w25q128jvsiq_C97521.html
C131025,W25Q16JVSSIQ,Winbond Elec,SOIC-8-208mil,,SOIC-8-208mil NOR FLASH ROHS,yes,5,5,0.2669,1.33,https://www.lcsc.com/product-detail/nor-flash_winbond-elec-w25q16jvssiq_C131025.html
C2907440,FRC1206J102 TS,FOJAN,1206,,0.25W Thick Film Resistors 200V ±100ppm/℃ ±5% 1kΩ 1206 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0022,0.22,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_fojan-frc1206j102-ts_C2907440.html
C22399635,CGA0805C0G220J500HT,HRE,0805,,50V 22pF C0G ±5% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0043,0.43,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_hre-cga0805c0g220j500ht_C22399635.html
C9002,X322512MSB4SI,YXC Crystal Oscillators,SMD3225-4P,,12MHz Surface Mount Crystal 20pF ±10ppm ±20ppm SMD3225-4P Crystals ROHS,yes,10,10,0.0642,0.64,https://www.lcsc.com/product-detail/crystals_yxc-crystal-oscillators-x322512msb4si_C9002.html
C70076,nSMD050-24V,TECHFUSE,1206,,24V 500mA 100A 1A 1206 Resettable Fuses ROHS,yes,10,10,0.0501,0.50,https://www.lcsc.com/product-detail/resettable-fuses_techfuse-nsmd050-24v_C70076.html
C2907509,FRC1206J512 TS,FOJAN,1206,,0.25W Thick Film Resistors 200V ±100ppm/℃ ±5% 5.1kΩ 1206 Chip Resistor - Surface Mount ROHS,yes,300,100,0.0022,0.66,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_fojan-frc1206j512-ts_C2907509.html
C2827654,USBLC6-2SC6,TECH PUBLIC,SOT-23-6,,6A 12V 150W 6V Unidirectional 5V SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS,yes,10,10,0.0365,0.37,https://www.lcsc.com/product-detail/esd-and-surge-protection-tvs-esd_tech-public-usblc6-2sc6_C2827654.html
C165948,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,,5A 1 16P Female Type-C SMD USB Connectors ROHS,yes,10,5,0.1661,1.66,https://www.lcsc.com/product-detail/usb-connectors_korean-hroparts-elec-type-c-31-m-12_C165948.html
C5337205,BSS138,HXY MOSFET,SOT-23,,50V 220mA 350mW 2Ω@10V 1.5V 1 N-channel SOT-23 MOSFETs ROHS,yes,20,20,0.0137,0.27,https://www.lcsc.com/product-detail/mosfets_hxy-mosfet-bss138_C5337205.html
C476766,C0805B104K500NT,TORCH,0805,,50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,200,25,0.0033,0.66,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_torch-c0805b104k500nt_C476766.html
C28323,CL21B105KBFNNNE,Samsung Electro-Mechanics,0805,,50V 1uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,50,50,0.0080,0.40,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl21b105kbfnnne_C28323.html
C2984401,AR06FTBV0500,Viking Tech,1206,,Thin Film Resistor ±1% ±10ppm/℃ 50Ω 1206 Chip Resistor - Surface Mount ROHS,yes,10,10,0.0459,0.46,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_viking-tech-ar06ftbv0500_C2984401.html
